,交易所,代码,公司,行业,亮点数目,风险数目
330,SH,600736,苏州高新,住宅地产开发和管理,0,6
331,SZ,300805,电声股份,传媒,1,5
332,SZ,809,铁岭新城,住宅地产开发和管理,1,5
333,SZ,2305,南国置业,商业地产开发和管理,0,4
334,SH,600831,广电网络,传媒,0,5
335,SZ,2133,广宇集团,住宅地产开发和管理,1,3
336,SH,603587,地素时尚,服装与配饰,3,0
337,SZ,2326,永太科技,化学原料,1,3
338,SZ,2748,世龙实业,化学原料,1,4
339,SH,600165,新日恒力,化学原料,1,11
340,SZ,616,海航投资,住宅地产开发和管理,0,7
341,SH,600641,万业企业,住宅地产开发和管理,1,3
342,SZ,300054,鼎龙股份,化学原料,3,4
343,SZ,683,远兴能源,化学原料,1,4
344,SZ,736,中交地产,住宅地产开发和管理,3,4
345,SH,603868,飞科电器,家用电器,3,0
346,SZ,631,顺发恒业,住宅地产开发和管理,1,3
347,SZ,1979,招商蛇口,工业地产开发和管理,5,1
348,SH,601155,新城控股,住宅地产开发和管理,5,2
349,SZ,818,航锦科技,化学原料,0,2
350,SZ,651,格力电器,家用电器,4,1
351,SH,603518,锦泓集团,服装与配饰,2,6
352,SH,600409,三友化工,化学原料,3,3
353,SZ,300413,芒果超媒,传媒,4,0
354,SH,600228,ST昌九,化学原料,0,7
355,SH,600515,海航基础,住宅地产开发和管理,2,7
356,SH,600075,新疆天业,化学原料,1,2
357,SZ,2442,龙星化工,化学原料,1,4
358,SH,603729,龙韵股份,传媒,0,7
359,SZ,300758,七彩化学,化学原料,4,3
360,SH,603650,彤程新材,化学原料,3,3
361,SZ,707,ST双环,化学原料,0,10
362,SH,600683,京投发展,住宅地产开发和管理,1,3
363,SZ,2741,光华科技,化学原料,1,5
364,SH,600173,卧龙地产,住宅地产开发和管理,2,1
365,SH,600309,万华化学,化学原料,6,2
366,SH,600160,巨化股份,化学原料,3,4
367,SH,600622,光大嘉宝,住宅地产开发和管理,0,0
368,SZ,732,泰禾集团,住宅地产开发和管理,1,9
369,SH,600691,阳煤化工,化学原料,0,8
370,SH,600618,氯碱化工,化学原料,2,2
371,SZ,2092,中泰化学,化学原料,2,4
372,SZ,2870,香山股份,家用电器,0,4
373,SZ,300781,因赛集团,传媒,1,3
374,SH,600724,宁波富达,住宅地产开发和管理,0,2
375,SZ,300217,东方电热,家用电器,2,5
376,SH,600636,国新文化,化学原料,1,2
377,SZ,1914,招商积余,住宅地产开发和管理,3,1
378,SZ,2211,宏达新材,化学原料,1,8
379,SH,600844,丹化科技,化学原料,0,8
380,SH,603948,建业股份,化学原料,0,4
381,SH,600675,中华企业,住宅地产开发和管理,0,1
382,SZ,300272,开能健康,家用电器,0,2
383,SZ,822,山东海化,化学原料,0,5
384,SZ,14,沙河股份,住宅地产开发和管理,0,2
385,SH,600983,惠而浦,家用电器,1,6
386,SZ,2407,多氟多,化学原料,1,6
387,SZ,2915,中欣氟材,化学原料,2,6
388,SZ,2753,永东股份,化学原料,1,4
389,SH,600301,ST南化,化学原料,2,6
390,SZ,2740,爱迪尔,服装与配饰,0,11
391,SZ,2709,天赐材料,化学原料,4,2
392,SH,600716,凤凰股份,住宅地产开发和管理,0,4
393,SZ,300121,阳谷华泰,化学原料,2,3
394,SZ,300073,当升科技,化学原料,4,2
395,SZ,2356,*ST赫美,服装与配饰,0,13
396,SH,688357,建龙微纳,化学原料,2,3
397,SZ,698,沈阳化工,化学原料,1,6
398,SH,603486,科沃斯,家用电器,3,1
